0.0 0.0
0.0 50.0
0.0 100.0
0.0 150.0
0.0 250.0
0.0 300.0
0.0 350.0
0.0 400.0
0.0 450.0
0.0 500.0
0.0 550.0
0.0 600.0
0.0 650.0
0.0 700.0
0.0 750.0
50.0 0.0
100.0 0.0
150.0 0.0
200.0 0.0
250.0 0.0
300.0 0.0
350.0 0.0
400.0 0.0
450.0 0.0
500.0 0.0
550.0 0.0
550.0 50.0
550.0 100.0
550.0 150.0
550.0 200.0
550.0 250.0
550.0 300.0
550.0 350.0
550.0 400.0
550.0 450.0
550.0 500.0
550.0 550.0
550.0 600.0
550.0 650.0
550.0 700.0
550.0 750.0
50.0 750.0
50.0 550.0
100.0 550.0
150.0 550.0
200.0 550.0
250.0 550.0
300.0 550.0
350.0 550.0
400.0 550.0
450.0 550.0
500.0 550.0
50.0 50.0
250.0 50.0
300.0 50.0
350.0 50.0
150.0 100.0
350.0 100.0
450.0 100.0
100.0 150.0
150.0 150.0
200.0 150.0
250.0 150.0
350.0 150.0
450.0 150.0
250.0 200.0
50.0 250.0
100.0 250.0
150.0 250.0
250.0 250.0
350.0 250.0
400.0 250.0
500.0 250.0
250.0 300.0
400.0 300.0
450.0 350.0
100.0 350.0
200.0 350.0
250.0 350.0
300.0 350.0
400.0 350.0
450.0 400.0
100.0 450.0
150.0 450.0
200.0 450.0
250.0 450.0
350.0 450.0
450.0 450.0
350.0 500.0
